model,degradation,PSNR,SSIM
BaselineNet,speckle_only,,
BaselineNet,gaussian_only,,
BaselineNet,downsample_only,,
BaselineNet,combined (speckle+gaussian+downsample),,
Baseline_GenCharbonnier,speckle_only,,
Baseline_GenCharbonnier,gaussian_only,,
Baseline_GenCharbonnier,downsample_only,,
Baseline_GenCharbonnier,combined (speckle+gaussian+downsample),,
LDMH,speckle_only,,
LDMH,gaussian_only,,
LDMH,downsample_only,,
LDMH,combined (speckle+gaussian+downsample),,
Full (DistributionMixtureRestorationNet),speckle_only,,
Full (DistributionMixtureRestorationNet),gaussian_only,,
Full (DistributionMixtureRestorationNet),downsample_only,,
Full (DistributionMixtureRestorationNet),combined (speckle+gaussian+downsample),,
